feature,importance
packer_count,1108.2585304260253
cpu_count,577.2915601730347
size_W,130.38261564999993
entr_X_weight,39.88434835001071
mz_count,31.453576752957495
entr_X,16.056121184835412
opcode_var,13.148106230706025
size_W_weight,12.677563102099338
size_X,12.545234308112413
size_X_weight,11.872558349350584
regs_count,9.766072147036903
pe_count,9.537159334484386
av_count,9.048701507021907
ips_count,8.337993875704706
coin_name_count,5.112324350449489
entr_W,4.312556142205769
pool_count,3.938209962844849
ltc_mean,3.9155841737985613
size_R_weight,3.2988329251587856
entr_R_weight,3.031832385568123
gpu_count,2.997683099657297
opcode_mean,2.8713543441065665
paths_count,2.2764069421158637
opcode_sum,2.207224248605871
opcode_max,2.155542281299654
file_size,1.7695355784147977
opcode_min,1.538681721361354
opcode_count,1.460662300121328
size_R,1.4494317229487934
opcode_uniq,1.3176538981261046
dbg_count,1.0963745198154355
entr_W_weight,0.9823822359627229
xmr_mean,0.9601919651031494
pool_name_count,0.9167372078169137
entr_R,0.8681176408948368
ltc_count,0.4754776140674949
xmr_count,0.4740799903869629
rsrc_num,0.4525198496878147
paths_mean,0.3447159657080192
pool_mean,0.3051919937133789
btc_count,0.23340260982513428
yargen_count,0.10713640451431275
btc_mean,0.09869620203971863
section_num,0.0738851354806684
algorithm_name_count,0.009905879944562912
regs_mean,0.0
pe_mean,0.0
mz_mean,0.0
ips_mean,0.0
gpu_mean,0.0
entry,0.0
cpu_mean,0.0
coin_mean,0.0
urls_count,0.0
urls_mean,0.0
coin_count,0.0
